iter	F1	Logloss
0	0.753238633	0.4424958041
1	0.8087062924	0.2855525143
2	0.8223647827	0.1817744995
3	0.8206822315	0.1288180156
4	0.8323234549	0.09161260629
5	0.8360422221	0.07183410857
6	0.8391340093	0.05928978479
7	0.8416756648	0.0508454673
8	0.8398824826	0.04538335419
9	0.8461552535	0.04012990462
10	0.8481971702	0.03713270911
11	0.8462200099	0.03515021732
12	0.8509668836	0.0320953606
13	0.8495765805	0.03090704819
14	0.8515021146	0.02912468975
15	0.8514169007	0.02834645604
16	0.8541799327	0.02728282949
17	0.8563576135	0.02653838084
18	0.856416311	0.02565831
19	0.8579468095	0.0253322392
20	0.8587585003	0.02482755011
21	0.8600279183	0.02461556621
22	0.8611988527	0.02401933039
23	0.8623100249	0.0236153409
24	0.8636536684	0.02343473268
25	0.8645935269	0.02289496758
26	0.8644682008	0.022569764
27	0.8652436044	0.02242162934
28	0.8661773214	0.02212202076
29	0.8669486012	0.02188384281
30	0.8674685739	0.02176376592
31	0.8680116938	0.02163421657
32	0.8678945754	0.02138139461
33	0.8679116046	0.02119659178
34	0.8690639187	0.02103131193
35	0.8696278684	0.02080060117
36	0.8708487085	0.02065094667
37	0.8710600688	0.02030369735
38	0.8721985586	0.02015121667
39	0.8726580323	0.01986290619
40	0.8729460357	0.01970337606
41	0.8739344998	0.01962279105
42	0.8753092174	0.01950313361
43	0.8761020715	0.01932806008
44	0.878156069	0.01917975048
45	0.878909039	0.01907706106
46	0.879844408	0.01894722981
47	0.8804751034	0.01883764783
48	0.8808641095	0.01873362821
49	0.8811420628	0.01862207337
50	0.8822848596	0.01851348809
51	0.8825518886	0.01829052481
52	0.8835612784	0.01817554946
53	0.8837490444	0.01808874785
54	0.8847922994	0.01800624397
55	0.8851899881	0.01786261872
56	0.8858152377	0.01777566103
57	0.8862264821	0.01769482864
58	0.8866418308	0.01749666666
59	0.8870610342	0.01740999289
60	0.8877155058	0.01725420117
61	0.887979594	0.01716476487
62	0.8882633098	0.01712246216
63	0.8883536413	0.01704111754
64	0.8896746818	0.01695963001
65	0.8898904206	0.01683819888
66	0.8901531883	0.01676937187
67	0.8910314139	0.01670893954
68	0.8918647118	0.01664139544
69	0.893215859	0.0165779034
70	0.8930899609	0.01652429166
71	0.8935870331	0.01643655357
72	0.8933133645	0.01633079158
73	0.8942846075	0.01623344448
74	0.8947896321	0.01614947524
75	0.8953543598	0.01609074079
76	0.8957113467	0.01605039262
77	0.8960447407	0.01592342868
78	0.8968341859	0.01575738418
79	0.8969831146	0.0157030851
80	0.8973052735	0.01560073608
81	0.8978208573	0.01556178424
82	0.897674582	0.01549402367
83	0.8979154593	0.0154473899
84	0.8985944656	0.01535296141
85	0.8991424212	0.01529315773
86	0.8995423381	0.01524153547
87	0.8997510432	0.01518072881
88	0.8999737004	0.0150758297
89	0.9005030058	0.01504433761
90	0.9010161177	0.01496234066
91	0.9012574871	0.0148276063
92	0.9031750197	0.01473913077
93	0.9034458632	0.01465783055
94	0.9036534392	0.01459965496
95	0.9042450934	0.01454334119
96	0.9047236392	0.01448737326
97	0.9050595342	0.01445258299
98	0.9058065867	0.01438796836
99	0.9063955212	0.01434325931
100	0.906331234	0.01427617334
101	0.9072520881	0.01421212353
102	0.9075217073	0.01410663547
103	0.9079023064	0.01404925959
104	0.9086314762	0.01396761646
105	0.9088215817	0.01391633745
106	0.9098035117	0.01385799863
107	0.909819081	0.01380126353
108	0.9109096919	0.01374059806
109	0.9118091894	0.01369298767
110	0.9123922713	0.01363709076
111	0.9124874014	0.01356989843
112	0.9125666916	0.01351017675
113	0.9127397832	0.01348110777
114	0.913166629	0.01340856694
115	0.9136861853	0.01336733776
116	0.9142063216	0.01330677226
117	0.9144107382	0.01326628487
118	0.9149770865	0.0132147498
119	0.9153695316	0.01318441762
120	0.9157934911	0.01310423043
121	0.9163892357	0.0130593545
122	0.9176409457	0.01298260041
123	0.9174550369	0.01294591903
124	0.9179112235	0.0128939347
125	0.918551096	0.01284325544
126	0.9186924302	0.01275969109
127	0.9192894983	0.01271580113
128	0.9198525467	0.0126633111
129	0.9203356111	0.01262727935
130	0.9210207822	0.01257185699
131	0.921534739	0.01249654689
132	0.9219576262	0.01245100546
133	0.9218301828	0.01239394181
134	0.9219233228	0.0123252829
135	0.9225614811	0.01229347207
136	0.9227208346	0.01226009172
137	0.9235415948	0.01220115678
138	0.923992753	0.01216604029
139	0.924114613	0.0121150148
140	0.9244088785	0.01206478157
141	0.9249043202	0.01200896885
142	0.9258206255	0.01196710926
143	0.9258653068	0.01190904019
144	0.9263437064	0.01184571578
145	0.9265445279	0.01181360605
146	0.9262193442	0.01179186216
147	0.9271910654	0.01173120595
148	0.927551196	0.01169337406
149	0.9282729446	0.01163423831
150	0.9283723811	0.01158039887
151	0.9289852332	0.01151158908
152	0.9290650896	0.01147679896
153	0.9296171558	0.01144009229
154	0.9295251843	0.01142562605
155	0.9301686532	0.01136525445
156	0.9303683352	0.01133553486
157	0.9304761414	0.01129927602
158	0.9309072183	0.01127526806
159	0.9315491508	0.01124572094
160	0.9316887394	0.01121848667
161	0.9323457806	0.01116870576
162	0.9324808447	0.0111427299
163	0.9329381125	0.01111727759
164	0.9331254391	0.01108084646
165	0.9331574168	0.011037396
166	0.9331414276	0.0110106767
167	0.9332807895	0.01098319152
168	0.9334201419	0.0109383403
169	0.9340800493	0.01090007164
170	0.9341280444	0.01087720582
171	0.9346002397	0.01083529375
172	0.9352702633	0.01079194417
173	0.9358325352	0.01074331082
174	0.9361483888	0.01071609226
175	0.9365811966	0.01068105198
176	0.9367949682	0.01063889301
177	0.9371795748	0.01059956794
178	0.9376334535	0.01056368428
179	0.9379322121	0.01053468866
180	0.9384870162	0.01047138273
181	0.9384765125	0.01043590021
182	0.9388925882	0.01040441077
183	0.938876558	0.01036467285
184	0.9392180297	0.01031989533
185	0.9395858584	0.01027518138
186	0.9398367877	0.01024252159
187	0.9398425627	0.01021833432
188	0.940443686	0.0101742086
189	0.9403853703	0.01014192621
190	0.9403591424	0.01012406236
191	0.940997816	0.01009434902
192	0.9412687853	0.01005320834
193	0.9420969199	0.009984279026
194	0.9426439014	0.009966710215
195	0.9429462171	0.009937373356
196	0.9429944119	0.009920832384
197	0.9432965985	0.009878457691
198	0.9432805314	0.009851381446
199	0.9436468605	0.009818388119
200	0.9437689452	0.009788910835
201	0.9437111471	0.009739669221
202	0.9442250068	0.009699749905
203	0.9442732365	0.009659600494
204	0.9445749498	0.009636156194
205	0.9445333515	0.009602249943
206	0.9449823869	0.009554291579
207	0.9451458128	0.009530101174
208	0.9452905641	0.009500911119
209	0.9456333141	0.009476750884
210	0.9460723457	0.009443537951
211	0.9465020576	0.009399438482
212	0.9465846112	0.00936450549
213	0.9467707111	0.00933011115
214	0.9470392277	0.009298755845
215	0.9477296278	0.009247040962
