iter	Passed	Remaining
158	8077	54103
159	8128	54052
160	8176	53984
161	8225	53925
162	8275	53864
163	8324	53801
164	8372	53734
165	8420	53668
166	8469	53608
167	8518	53546
168	8566	53477
169	8617	53430
170	8666	53367
171	8713	53295
172	8762	53230
173	8811	53173
174	8859	53104
175	8908	53046
176	8960	53001
177	9009	52944
178	9057	52879
179	9106	52819
180	9157	52769
181	9208	52719
182	9258	52669
183	9307	52607
184	9355	52544
185	9405	52486
186	9453	52425
187	9503	52367
188	9552	52312
189	9601	52250
190	9649	52189
191	9699	52132
192	9748	52077
193	9799	52026
194	9846	51960
195	9896	51905
196	9945	51849
197	9995	51794
198	10044	51737
199	10093	51676
200	10142	51618
201	10192	51565
202	10241	51507
203	10290	51453
204	10338	51391
205	10389	51344
206	10441	51298
207	10489	51234
208	10538	51178
209	10586	51117
210	10636	51064
211	10687	51020
212	10738	50968
213	10787	50914
214	10836	50856
215	10887	50807
216	10936	50750
217	10984	50690
218	11033	50634
219	11081	50571
220	11129	50512
221	11178	50453
222	11226	50395
223	11274	50334
224	11324	50280
225	11374	50229
226	11421	50163
227	11471	50110
228	11520	50056
229	11569	49999
230	11618	49945
231	11667	49889
232	11716	49833
233	11766	49779
234	11815	49723
235	11863	49667
236	11912	49611
237	11961	49555
238	12010	49497
239	12060	49447
240	12109	49391
241	12158	49338
242	12207	49281
243	12255	49223
244	12304	49169
245	12354	49117
246	12403	49061
247	12453	49008
248	12502	48956
249	12551	48902
250	12600	48845
251	12648	48785
252	12696	48730
253	12745	48674
254	12794	48620
255	12845	48573
256	12895	48521
257	12943	48464
258	12992	48410
259	13042	48357
260	13092	48305
261	13140	48247
262	13190	48198
263	13239	48142
264	13288	48090
265	13339	48042
266	13387	47986
267	13438	47937
268	13487	47881
269	13535	47826
270	13584	47771
271	13635	47722
272	13683	47668
273	13734	47620
274	13783	47564
275	13833	47513
276	13883	47462
277	13932	47410
278	13982	47361
279	14033	47311
280	14082	47259
281	14131	47206
282	14180	47152
283	14230	47100
284	14281	47053
285	14331	47004
286	14380	46951
287	14428	46893
288	14478	46840
289	14527	46789
290	14579	46743
291	14630	46695
292	14679	46643
293	14728	46591
294	14777	46535
295	14826	46483
296	14875	46430
297	14926	46382
298	14976	46331
299	15026	46280
300	15076	46231
301	15127	46182
302	15174	46124
303	15223	46070
304	15273	46021
305	15324	45973
306	15374	45924
307	15423	45869
308	15473	45819
309	15523	45768
310	15573	45718
311	15622	45665
312	15674	45622
313	15725	45572
314	15774	45519
315	15822	45464
316	15871	45410
317	15921	45360
318	15972	45313
319	16019	45254
320	16069	45204
321	16119	45155
322	16167	45099
323	16216	45045
324	16264	44991
325	16313	44936
326	16365	44892
327	16415	44843
328	16464	44790
329	16515	44740
330	16562	44685
331	16612	44633
332	16662	44583
333	16710	44528
334	16759	44475
335	16809	44423
336	16861	44378
337	16910	44328
338	16959	44274
339	17008	44222
340	17059	44173
341	17108	44120
342	17157	44070
343	17206	44016
344	17255	43964
345	17303	43909
346	17353	43858
347	17403	43808
348	17453	43758
349	17501	43704
350	17551	43653
351	17599	43599
352	17649	43548
353	17698	43497
354	17748	43446
355	17797	43395
356	17848	43346
357	17898	43297
358	17950	43251
359	17998	43197
360	18048	43146
361	18096	43092
